0.855,BSC,1000,83.54
0.939,BSC,1100,84.64
0.989,BSC,1200,86.52
0.990,BSC,1300,84.80
1.044,BSC,1400,85.58
1.090,BSC,1500,85.89
1.092,BSC,1600,85.27
1.174,BSC,1700,87.62
1.246,BSC,1800,86.83
1.658,BSC,1900,87.62
1.578,BSC,2000,86.68
1.754,BSC,2100,87.93
1.441,BSC,2200,88.24
1.480,BSC,2300,90.13
1.585,BSC,2400,88.40
1.634,BSC,2500,89.66
1.997,BSC,2600,86.83
2.439,BSC,2700,88.24
2.389,BSC,2800,90.13
2.573,BSC,2900,88.71
2.531,BSC,3000,90.91
2.431,BSC,3100,89.81
3.159,BSC,3200,89.50
2.815,BSC,3300,89.34
3.030,BSC,3400,89.03
2.678,BSC,3500,90.28
3.154,BSC,3600,90.44
3.181,BSC,3700,90.75
3.270,BSC,3800,89.81
3.171,BSC,3900,90.44
3.157,BSC,4000,91.69
3.622,BSC,4100,91.07
3.590,BSC,4200,91.07
3.721,BSC,4300,89.34
3.802,BSC,4400,91.69
4.054,BSC,4500,92.32
3.870,BSC,4600,91.38
4.135,BSC,4700,91.22
3.056,BSC,4800,91.22
2.549,BSC,4900,91.85
2.481,BSC,5000,91.38
2.523,BSC,5100,92.16
2.554,BSC,5200,91.85
2.646,BSC,5300,92.16
2.883,BSC,5400,91.22
2.907,BSC,5500,92.01
2.910,BSC,5600,91.07
2.966,BSC,5700,92.01
3.509,BSC,5800,92.79
3.058,BSC,5900,91.69
3.040,BSC,6000,91.69
3.353,BSC,6100,91.54
3.341,BSC,6200,92.48
3.336,BSC,6300,90.91
3.636,BSC,6400,91.85
3.524,BSC,6500,91.54
3.931,BSC,6600,91.54
4.403,BSC,6700,92.16
4.223,BSC,6800,91.38
4.137,BSC,6900,92.16
3.764,BSC,7000,92.16
3.781,BSC,7100,92.48
3.925,BSC,7200,93.57
3.820,BSC,7300,92.01
3.978,BSC,7400,93.42
5.215,BSC,7500,92.79
4.687,BSC,7600,90.60
4.258,BSC,7700,90.91
4.220,BSC,7800,93.26
4.415,BSC,7900,92.01
4.499,BSC,8000,91.07
4.505,BSC,8100,91.69
4.728,BSC,8200,92.32
4.269,BSC,8300,91.54
5.478,BSC,8400,91.85
5.170,BSC,8500,93.42
4.963,BSC,8600,92.63
5.252,BSC,8700,91.69
5.209,BSC,8800,92.63
5.169,BSC,8900,92.32
5.600,BSC,9000,92.16
5.363,BSC,9100,92.32
5.730,BSC,9200,93.10
5.669,BSC,9300,93.26
5.638,BSC,9400,92.48
5.553,BSC,9500,92.16
5.882,BSC,9600,91.69
6.248,BSC,9700,91.85
6.017,BSC,9800,92.79
5.626,BSC,9900,92.79
10.963,BSC,10000,92.79
1.614,MAP,1000,68.97
1.677,MAP,1100,75.24
1.806,MAP,1200,70.38
2.009,MAP,1300,69.75
1.936,MAP,1400,73.20
1.995,MAP,1500,71.63
2.110,MAP,1600,69.91
2.288,MAP,1700,75.08
2.549,MAP,1800,72.88
2.246,MAP,1900,70.22
2.311,MAP,2000,71.79
2.731,MAP,2100,72.41
2.768,MAP,2200,73.67
2.847,MAP,2300,75.55
2.949,MAP,2400,74.92
3.602,MAP,2500,75.24
3.439,MAP,2600,73.67
3.259,MAP,2700,73.67
3.487,MAP,2800,71.32
3.513,MAP,2900,71.79
4.098,MAP,3000,73.20
3.945,MAP,3100,74.61
4.324,MAP,3200,73.82
4.114,MAP,3300,73.04
4.463,MAP,3400,75.24
4.461,MAP,3500,73.82
4.591,MAP,3600,74.61
4.886,MAP,3700,73.82
4.379,MAP,3800,74.92
5.096,MAP,3900,71.94
4.950,MAP,4000,72.57
5.911,MAP,4100,73.67
5.749,MAP,4200,76.96
5.525,MAP,4300,72.41
5.478,MAP,4400,74.92
3.590,MAP,4500,73.04
3.276,MAP,4600,74.61
4.245,MAP,4700,74.76
6.053,MAP,4800,73.35
5.915,MAP,4900,75.39
7.112,MAP,5000,75.24
6.421,MAP,5100,73.04
6.547,MAP,5200,72.26
6.412,MAP,5300,75.71
6.167,MAP,5400,73.82
7.019,MAP,5500,74.29
7.046,MAP,5600,73.35
6.988,MAP,5700,75.86
6.611,MAP,5800,75.86
7.401,MAP,5900,73.04
5.183,MAP,6000,73.35
5.415,MAP,6100,74.76
5.313,MAP,6200,73.67
5.864,MAP,6300,74.45
4.564,MAP,6400,75.08
4.689,MAP,6500,73.35
5.471,MAP,6600,74.61
5.091,MAP,6700,75.71
7.083,MAP,6800,75.86
8.562,MAP,6900,74.61
8.771,MAP,7000,74.76
8.556,MAP,7100,73.51
9.126,MAP,7200,74.29
3.889,MAP,7300,73.35
3.750,MAP,7400,74.76
3.885,MAP,7500,72.57
3.817,MAP,7600,73.20
4.090,MAP,7700,74.92
4.171,MAP,7800,75.55
4.450,MAP,7900,77.59
4.575,MAP,8000,74.92
4.595,MAP,8100,73.67
4.254,MAP,8200,75.39
6.345,MAP,8300,76.02
5.715,MAP,8400,74.61
4.794,MAP,8500,73.82
4.947,MAP,8600,75.55
5.014,MAP,8700,72.88
5.518,MAP,8800,75.55
4.648,MAP,8900,75.39
4.542,MAP,9000,76.33
4.790,MAP,9100,73.20
5.173,MAP,9200,74.14
4.634,MAP,9300,76.49
4.966,MAP,9400,75.24
5.031,MAP,9500,75.08
5.243,MAP,9600,75.24
5.416,MAP,9700,75.71
5.643,MAP,9800,74.92
5.675,MAP,9900,74.45
6.301,MAP,10000,76.02
