1000,20,72.08
2000,20,79.39
3000,20,82.13
4000,20,84.29
5000,20,84.95
6000,20,85.14
7000,20,85.8
8000,20,86.36
9000,20,86.3
10000,20,86.7
1000,30,72.12
2000,30,79.69
3000,30,82.23
4000,30,83.6
5000,30,84.99
6000,30,85.42
7000,30,85.27
8000,30,86.08
9000,30,86.77
10000,30,87.37
1000,40,70.71
2000,40,79.0
3000,40,81.91
4000,40,83.77
5000,40,84.99
6000,40,85.03
7000,40,85.69
8000,40,86.21
9000,40,86.49
10000,40,87.56
1000,50,71.86
2000,50,79.66
3000,50,80.8
4000,50,83.73
5000,50,83.92
6000,50,85.2
7000,50,86.0
8000,50,86.44
9000,50,86.36
10000,50,86.62
1000,60,70.77
2000,60,77.87
3000,60,82.27
4000,60,83.6
5000,60,84.78
6000,60,86.27
7000,60,85.01
8000,60,86.72
9000,60,86.89
10000,60,86.87
1000,70,70.71
2000,70,78.98
3000,70,82.0
4000,70,83.13
5000,70,84.26
6000,70,85.8
7000,70,86.53
8000,70,85.57
9000,70,86.55
10000,70,86.68
1000,80,70.15
2000,80,79.3
3000,80,81.14
4000,80,83.58
5000,80,85.44
6000,80,85.06
7000,80,86.16
8000,80,86.38
9000,80,86.29
10000,80,87.43
1000,90,72.44
2000,90,78.83
3000,90,82.1
4000,90,83.58
5000,90,84.48
6000,90,85.44
7000,90,85.14
8000,90,86.7
9000,90,86.3
10000,90,86.23
1000,100,71.05
2000,100,79.2
3000,100,82.85
4000,100,83.35
5000,100,84.84
6000,100,85.16
7000,100,85.44
8000,100,85.89
9000,100,86.32
10000,100,86.76
