1000,20,75.25
2000,20,78.16
3000,20,80.07
4000,20,81.49
5000,20,82.01
6000,20,83.02
7000,20,81.91
8000,20,82.82
9000,20,82.31
10000,20,83.45
1000,30,73.33
2000,30,78.52
3000,30,78.75
4000,30,80.73
5000,30,81.58
6000,30,81.34
7000,30,83.49
8000,30,82.45
9000,30,82.85
10000,30,82.49
1000,40,74.8
2000,40,79.56
3000,40,80.33
4000,40,81.28
5000,40,81.45
6000,40,81.33
7000,40,80.95
8000,40,81.53
9000,40,82.81
10000,40,84.09
1000,50,75.39
2000,50,78.93
3000,50,79.45
4000,50,81.12
5000,50,81.8
6000,50,82.31
7000,50,81.99
8000,50,82.38
9000,50,83.14
10000,50,82.64
1000,60,74.45
2000,60,78.61
3000,60,80.81
4000,60,80.74
5000,60,81.66
6000,60,81.22
7000,60,82.44
8000,60,82.32
9000,60,82.33
10000,60,83.06
1000,70,72.66
2000,70,78.61
3000,70,79.33
4000,70,81.6
5000,70,81.02
6000,70,81.27
7000,70,82.66
8000,70,82.64
9000,70,83.11
10000,70,82.54
1000,80,71.68
2000,80,79.14
3000,80,78.67
4000,80,80.28
5000,80,81.74
6000,80,81.7
7000,80,82.38
8000,80,81.84
9000,80,82.51
10000,80,82.64
1000,90,72.87
2000,90,80.09
3000,90,80.75
4000,90,79.97
5000,90,82.47
6000,90,81.83
7000,90,81.79
8000,90,81.55
9000,90,82.1
10000,90,83.42
1000,100,75.44
2000,100,79.11
3000,100,78.68
4000,100,80.59
5000,100,80.46
6000,100,80.74
7000,100,82.49
8000,100,82.87
9000,100,82.05
10000,100,82.0
