1000,3,59.98
2000,3,64.62
3000,3,70.12
4000,3,73.03
5000,3,72.71
6000,3,74.55
7000,3,75.67
8000,3,77.21
9000,3,77.19
10000,3,79.02
1000,4,61.04
2000,4,69.46
3000,4,75.18
4000,4,74.62
5000,4,75.39
6000,4,77.16
7000,4,76.38
8000,4,78.18
9000,4,77.75
10000,4,78.20
1000,5,66.90
2000,5,70.64
3000,5,76.05
4000,5,76.09
5000,5,78.11
6000,5,78.12
7000,5,79.55
8000,5,79.73
9000,5,80.10
10000,5,80.24
1000,6,68.97
2000,6,70.00
3000,6,76.97
4000,6,76.47
5000,6,77.60
6000,6,79.52
7000,6,80.00
8000,6,80.52
9000,6,80.92
10000,6,80.63
1000,7,64.37
2000,7,72.81
3000,7,77.12
4000,7,76.84
5000,7,78.27
6000,7,79.31
7000,7,80.60
8000,7,80.04
9000,7,81.13
10000,7,81.06
1000,8,65.76
2000,8,72.11
3000,8,75.58
4000,8,76.60
5000,8,77.75
6000,8,80.17
7000,8,79.45
8000,8,80.51
9000,8,81.01
10000,8,80.62
1000,9,64.38
2000,9,71.29
3000,9,75.13
4000,9,76.86
5000,9,78.40
6000,9,79.97
7000,9,79.42
8000,9,79.79
9000,9,81.18
10000,9,80.99
1000,10,68.71
2000,10,72.75
3000,10,74.91
4000,10,77.25
5000,10,79.09
6000,10,79.65
7000,10,79.65
8000,10,81.21
9000,10,81.09
10000,10,80.97
