1000,2,22.62,1.959588,0.000283
1000,2,27.11,1.959947,0.000285
1000,2,23.26,1.973781,0.000305
1000,2,25.09,1.981664,0.000290
1000,2,25.18,1.964505,0.000290
2000,2,27.11,3.205998,0.000363
2000,2,26.56,3.260037,0.000360
2000,2,23.81,3.166707,0.000356
2000,2,24.91,3.125472,0.000358
2000,2,25.46,3.178421,0.000355
3000,2,25.09,4.803984,0.000432
3000,2,28.30,4.581457,0.000441
3000,2,26.47,4.694597,0.000418
3000,2,24.91,4.598435,0.000416
3000,2,25.55,4.419369,0.000429
4000,2,24.82,5.096505,0.000480
4000,2,26.47,5.408186,0.000475
4000,2,27.66,5.186466,0.000470
4000,2,26.37,5.262148,0.000482
4000,2,25.00,4.980239,0.000490
5000,2,24.82,6.019951,0.000539
5000,2,26.56,5.597439,0.000544
5000,2,26.37,5.888243,0.000537
5000,2,26.10,6.075596,0.000541
5000,2,26.56,6.258524,0.000547
6000,2,26.65,6.851642,0.000603
6000,2,25.82,6.304292,0.000608
6000,2,24.63,6.667877,0.000603
6000,2,25.92,6.708674,0.000601
6000,2,25.09,6.485604,0.000602
7000,2,26.01,6.958745,0.000659
7000,2,24.82,7.011802,0.000665
7000,2,27.29,7.049805,0.000703
7000,2,25.64,7.313150,0.000661
7000,2,26.28,7.646785,0.000687
8000,2,24.27,8.241114,0.000760
8000,2,25.09,8.574944,0.000756
8000,2,23.35,8.413161,0.000757
8000,2,22.99,8.046651,0.000753
8000,2,25.92,7.937382,0.000746
9000,2,26.74,8.952549,0.000818
9000,2,22.44,8.814010,0.000802
9000,2,25.18,8.628613,0.000853
9000,2,26.28,8.839736,0.000784
9000,2,25.46,8.667068,0.000788
10000,2,23.63,9.180151,0.000835
10000,2,24.63,9.290829,0.000841
10000,2,25.09,9.251792,0.000848
10000,2,25.82,9.337264,0.000842
10000,2,23.17,9.332088,0.000842
1000,3,26.65,2.102424,0.000325
1000,3,26.74,2.101334,0.000319
1000,3,24.18,2.178837,0.000318
1000,3,23.17,2.110733,0.000317
1000,3,27.20,2.150132,0.000326
